,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
    Consumption,103.998,106.304,107.713,109.113,112.631,113.254,115.412,117.729,118.359,113.816,116.04,117.4777,114.8325,114.4574,112.7887,112.0468,113.1008,113.6146,116.1754,115.6105,114.7038,116.2769,111.7051064,108.1405893
    Imports,22.946,21.492,20.87,20.801,21.405,23.691,27.346,23.139,24.967,15.452,15.583,20.62,32.1557,33.252,32.855,30.76,24.2576,22.4577,26.7546,20.4029,19.7733,20.8854,18.5444455,19.546606
    Exports,4.031,4.209,4.488,3.809,5.188,5.398,5.887,5.565,9.116,10.561,12.808,11.531,15.0459,15.015,18.128,22.0119,19.3433,18.9515,18.7847,19.5476,22.4328,20.6324,22.810847,25.2061368
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,5.64,5.735,5.333,5.363,5.183,5.45,5.356,5.488,5.471,5.558,4.829,5.3246,5.2181,4.5011,4.082,3.6173,3.5629,4.3041,3.6417,4.4506,3.7818,3.7416,4.2027833,4.5986308
            Coal,5.209,5.568,5.119,5.341,5.16,5.436,5.108,5.009,5.289,5.305,4.743,5.1686,4.8321,4.0251,3.737,3.4362,2.9089,3.3864,2.8483,3.5076,2.6346,2.1852,2.771,2.916
            Natural gas,0,0,0,0,0,0,0,0,0,0.002,0.025,0.088,0.298,0.362,0.196,0.0691,0.5691,0.8289,0.7459,0.8819,1.0548,1.4286,0.9060792,1.3086308
            Oil,0.431,0.167,0.214,0.022,0.023,0.014,0.248,0.479,0.182,0.251,0.061,0.068,0.088,0.114,0.149,0.112,0.0849,0.0888,0.0475,0.0611,0.0924,0.1278,0.5257041,0.374
        Renewables,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.42,1.034,1.577,1.28,2.0102,2.0389,1.2729,1.9487,1.3355,1.4696,1.6544992,1.5894769,2.1396102
            Hydroelectricity,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.419,1.031,1.568,1.195,1.846,1.8697,1.087,1.7745,1.1554,1.2719,1.4462,1.3402141,1.6178858
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.009,0.014,0.023,0.0237,0.0238,0.0228,0.0232,0.0235,0.0509992,0.0918881,0.307
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.121,0.1095,0.1105,0.0973,0.1018,0.1169,0.1033,0.1076747,0.157647
    Consumption,5.879,5.715,5.637,6.369,6.449,6.934,7.102,7.47,7.592,7.066,7.377,8.0326,7.6251,7.3551,7.253,7.1045,6.6258,6.556,6.5152,6.6351,6.5504,6.8320992,6.2322602,5.895579129
    Imports,0.112,0.431,0.791,0.953,1.176,1.599,1.795,2.491,2.733,1.438,1.42,2.749,2.741,2.491,3.073,2.656,2.191,2.294,2.297,6.882,6.734,7.407,7.074,7.232
    Exports,0,0,0,0,0,0,0,0,0,0,0,0.073,0.072,0.062,0.113,0.143,0.16,0.311,0.3774,5.054,4.408,4.93,5.662,7.081
Norway,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,0.292,0.343,0.353,0.46,0.508,0.53,0.637,0.936,0.606,4.362,5.031,4.226,2.835,2.638,2.787,2.773,2.776,2.735,2.7941,2.5596,2.0019,0.879261,1.4823803,1.8768043
            Coal,0.04,0.041,0.041,0.042,0.043,0.042,0.043,0.043,0.039,0.041,0.042,0.039,0.039,0.04,0.038,0.039,0.042,0.043,0.0441,0.0446,0.045,0.044361,0.039,0.038
            Natural gas,0.211,0.239,0.198,0.299,0.374,0.375,0.471,0.764,0.44,4.234,4.799,3.71,2.237,2.065,2.221,2.205,2.208,2.06,2.1801,2.0554,1.6,0.3054,1.15,1.53
            Oil,0.009,0.009,0.022,0.031,0.028,0.023,0.029,0.035,0.033,0.03,0.097,0.375,0.431,0.423,0.409,0.417,0.422,0.489,0.4359,0.3412,0.2196,0.3854,0.1773803,0.1858043
        Renewables,140.727,119.627,128.479,105.08,108.404,135.222,119.28,133.684,139.051,125.309,117.599,121.502,143.177,130.032,137.527,139.649,144.785,144.958,142.4556,129.6497,152.117322,156.6469389,143.1003304,150.7663163
            Hydroelectricity,140.4,119.258,128.078,104.425,107.693,134.331,118.175,132.319,137.654,124.03,116.257,119.78,141.189,127.551,134.844,136.662,142.244,141.651,138.202,123.6629,141.69,144.368,127.62,136.1051265
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0.0023,0.0128,0.082322,0.1089389,0.1728658,0.358
                Wind,0.031,0.027,0.075,0.218,0.252,0.499,0.636,0.892,0.913,0.977,0.879,1.283,1.548,1.881,2.215,2.513,2.116,2.852,3.8759,5.5232,9.911,11.767,14.8214646,13.9741292
    Consumption,112.994,115.512,109.615,103.787,109.184,113.383,110.502,114.011,115.689,112.769,120.448,114.81,118.574,119.363,116.842,119.844,123.193,124.58,127.231,124.8793,127.010522,132.7466998,124.9086445,127.3346928
    Imports,1.474,10.745,5.335,13.422,15.309,3.653,9.801,5.285,3.412,5.651,14.673,11.254,4.191,10.135,6.347,7.371,5.74,6.111,8.3397,12.353,4.4961,8.2351,13.258506,13.231766
    Exports,20.529,7.174,15.046,5.548,3.854,15.695,8.947,15.32,17.275,14.634,7.124,14.329,22.006,15.141,21.932,22.016,22.151,21.276,18.4889,12.309,24.9683,25.8189,25.7915721,30.977995
Poland,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,140.765,140.863,139.579,147.729,149.036,151.167,156.115,153.062,148.017,142.383,146.073,149.845,144.721,146.81,138.473,141.467,143.066,145.4941,147.4421,137.0179,128.408069,147.581946,140.206,119.5
            Coal,135.888,134.97,132.954,140.658,141.121,141.881,147.008,144.009,138.895,133.389,136.514,139.758,134.573,137.718,129.52,130.519,130.322,131.1585,130.563,118.1435,107.397738,127.571,124.727,98.646
            Natural gas,0.928,1.358,2.198,2.425,3.225,5.165,4.58,4.483,4.679,4.787,4.798,5.821,6.26,5.27,5.328,6.387,7.831,10.0349,12.6343,14.7974,17.288,15.824,11.355,16.983
            Oil,1.916,2.398,2.376,2.456,2.914,2.757,2.908,2.794,2.726,2.723,2.892,2.453,2.045,1.782,1.594,2.118,2.302,2.0206,1.8002,1.769,1.749987,2.094088,2.354,2.224
        Renewables,2.388,2.835,2.897,2.263,3.218,3.866,4.311,5.424,6.605,8.68,10.913,13.1322,16.854,17.018,19.778,22.61,22.6875,24.0928,21.707,25.6606,28.351892,30.9740789,38.275,45.5070609
            Hydroelectricity,2.085,2.302,2.256,1.654,2.06,2.179,2.022,2.328,2.13,2.351,2.9,2.313,2.02,2.421,2.165,1.814,2.117,2.552,1.949,1.9384,2.118337,2.339192,1.968,2.407
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.001,0,0.0002,0.001,0.001,0.007,0.057,0.1239,0.1655,0.3005,0.7107,1.9579159,3.9344479,8.31,11.345
                Wind,0.005,0.014,0.061,0.124,0.142,0.135,0.256,0.522,0.837,1.077,1.664,3.187,4.709,5.939,7.579,10.728,12.2786,14.5742,12.4717,14.7607,15.4291691,16.234,19.78,23.6458973
    Consumption,121.767,122.066,120.386,124.709,127.872,128.654,134.998,138.421,141.069,136.057,143.521,146.8822,147.632,148.788,149.896,152.912,157.9955,161.6173,165.7058,164.0242,159.669612,169.8313959,167.541422,159.6391855
    Imports,3.29,4.306,4.469,4.985,5.312,5.002,4.789,7.761,9.034,7.403,6.31,6.78,9.803,7.801,13.508,14.459,14.017,13.271,13.8158,17.8683,20.6241,15.0998,15.23763,15.139915
    Exports,9.663,11.035,11.537,15.146,14.605,16.188,15.775,13.109,9.703,9.594,7.664,12.022,12.643,12.322,11.342,14.793,12.018,10.984,8.1213,7.2454,7.3571,14.2121,16.914939,11.40284
Portugal,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,30.247,30.172,35.656,28.54,32.245,37.623,32.548,30.392,30.543,30.893,25.008,27.448,25.947,20.764,20.143,26.601,26.512,34.8406,28.7399,24.0495,21.1664,17.613,19.2140629,11.6307646
            Coal,14.595,13.606,15.212,14.527,14.858,15.226,14.958,12.398,11.196,12.896,7.1,9.848,13.087,11.838,11.952,14.727,12.63,14.666,12.0064,5.5327,2.3631,0.808,0,0
            Natural gas,7.138,7.212,9.037,7.74,11.689,13.606,12.343,13.124,15.199,14.712,14.9,14.916,10.67,7.228,6.834,10.562,12.582,18.8946,15.6116,17.2635,17.5992,15.574,17.9565234,10.3970895
            Oil,8.421,9.338,11.407,6.273,5.698,8.791,5.247,4.87,4.148,3.285,3.008,2.684,2.19,1.698,1.357,1.312,1.3,1.28,1.1219,1.2533,1.2041,1.231,1.2575395,1.2336751
        Renewables,13.012,15.856,9.916,17.824,12.483,8.518,15.918,16.403,14.86,18.506,28.3809,24.2365,19.4764,29.5487,31.5597,24.4788,32.3647,22.5906,29.4611,27.3985,30.3612,31.5804,27.749,34.41369334
            Hydroelectricity,11.21,13.894,7.722,15.566,9.77,4.684,10.892,9.991,6.73,8.201,15.954,11.423,5.589,13.652,15.471,8.615,15.608,5.79,12.316,8.6526,12.0826,11.8465,6.458,11.97867144
                Geothermal,0.08,0.105,0.096,0.09,0.084,0.071,0.085,0.201,0.192,0.184,0.174,0.186,0.134,0.174,0.183,0.182,0.152,0.193,0.2042,0.1915,0.217,0.179,0.195,0.1725221
                    Solar,0.001,0.001,0.002,0.003,0.003,0.003,0.005,0.024,0.038,0.16,0.2113,0.2799,0.3926,0.4791,0.6273,0.7962,0.8706,0.9915,1.004,1.3406,1.7145,2.236,3.519,5.706841
                Wind,0.168,0.256,0.362,0.496,0.816,1.773,2.925,4.037,5.757,7.577,9.0996,9.1026,10.1568,11.8976,11.9814,11.4816,12.3431,12.1125,12.5218,13.5762,12.299,13.216,13.244,13.1331968
    Consumption,40.375,42.066,43.756,45.123,47.022,48.572,49.983,50.92,50.504,50.179,51.6189,50.2455,48.3184,47.3127,47.1587,48.1308,48.5566,49.1571,50.1358,49.4979,48.045,48.582592,50.5676541,50.3169227
    Imports,4.698,3.741,5.329,5.898,8.612,9.626,8.624,9.641,10.744,7.598,5.814,6.742,10.766,8.1,7.247,8.077,4.616,5.5057,5.6676,8.0992,7.5531,9.5444,12.31418,13.6556367
    Exports,3.767,3.502,3.43,3.104,2.131,2.802,3.183,2.153,1.313,2.822,3.191,3.929,2.871,5.324,6.344,5.811,9.701,8.1897,8.3245,4.7,6.0969,4.7914,3.0615656,3.4224334
Romania,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,5.225,5.037,5.11,4.54,5.271,5.113,5.178,7.0785,10.334,10.82,10.705,10.811,10.564,10.6958,10.754,10.698,10.366,10.5579,10.4417,10.3454,10.5567,10.3767,10.2,10.3771447
        Fossil fuels,31.7,33.497,33.173,36.972,34.434,33.644,38.705,37.96,36.506,30.436,28.696,33.937,32.382,26.769,26.398,28.08,26.34,28.1463,26.8714,23.2824,19.5417,21.5086,20.972,18.5131186
            Coal,18.926,19.694,20.312,23.344,21.483,21.916,25.146,25.096,25.823,21.748,20.681,24.782,22.901,16.936,17.763,18.125,15.881,16.7802,15.6455,13.6185,9.3599,10.688,10.365,8.07
            Natural gas,9.001,8.073,8.966,9.696,10.462,9.612,11.831,11.559,9.924,7.632,7.262,8.365,8.719,9.255,8.104,9.386,9.655,10.6561,10.521,8.9541,9.4596,9.907,9.333,9.436
            Oil,3.399,5.405,3.578,3.633,2.199,1.894,1.606,1.096,0.7,1.031,0.692,0.769,0.751,0.56,0.486,0.474,0.704,0.6328,0.5988,0.5984,0.6004,0.7561,1.114,0.8871186
        Renewables,14.778,14.923,16.049,13.262,16.517,20.214,18.36,16.004,17.224,15.554,20.302,16.316,14.926,20.149,27.128,26.202,26.969,24.2818,26.1946,24.6352,24.6068,26.3437,23.610389,28.7747188
            Hydroelectricity,14.778,14.923,16.046,13.259,16.513,20.207,18.356,15.966,17.195,15.534,19.883,14.728,12.066,14.957,18.806,16.633,18.028,14.4942,17.6643,15.5807,15.3814,17.412,13.97797,18.8223471
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.008,0.42,1.616,1.982,1.82,1.8557,1.771,1.7776,1.7334,1.7034,1.988419,2.224
                Wind,0,0,0,0,0,0,0,0.003,0.005,0.009,0.306,1.388,2.64,4.52,6.201,7.063,6.59,7.4067,6.3222,6.7728,6.9455,6.5755,6.997,7.4934493
    Consumption,44.404,45.266,44.792,47.916,48.983,49.988,51.392,52.2015,52.626,47.404,50.263,51.952,50.982,48.4718,49.915,50.979,51.381,52.9916,53.7772,53.1524,51.1995,54.129,50.444389,48.72953471
    Imports,0.8,0.7,0.436,0.962,2.6,2.321,0.989,1.269,0.921,0.651,0.767,3.41,3.903,2.737,2.811,4.492,4.177,4.842,3.697,5.493,8.2516,8.697,8.653,10.088
    Exports,1.47,2.077,3.29,3.046,3.766,5.224,5.262,3.359,5.169,2.946,3.041,5.316,3.65,4.753,9.937,11.22,9.194,7.7354,6.241,3.9746,5.4593,6.499,7.429,13.106
Serbia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,--,--,--,--,--,--,25.516,26.513,27.267,27.178,25.532,29.357,26.879,29.003,22.412,27.477,27.746,27.1523,25.7627,26.3462,27.0562,24.8821,25.0003157,26.859008
            Coal,--,--,--,--,--,--,25.019,25.576,26.68,26.856,25.022,28.714,26.316,28.668,22.126,27.162,27.243,26.4646,25.0196,25.5832,26.499,23.753,23.484,24.532
            Natural gas,--,--,--,--,--,--,0.118,0.403,0.415,0.173,0.327,0.501,0.477,0.301,0.235,0.218,0.376,0.5499,0.5962,0.6653,0.5117,1.069,1.449,2.2648177
            Oil,--,--,--,--,--,--,0.325,0.506,0.172,0.103,0.111,0.071,0.068,0.011,0.01,0.028,0.052,0.0482,0.0522,0.022,0.0148,0.0101,0.0143157,0.0091903
        Renewables,--,--,--,--,--,--,10.35,9.486,9.564,10.541,11.891,8.667,9.297,10.231,11.035,10.119,10.869,9.2954,10.9091,10.5134,10.2231,12.6063,10.4913672,14.6406457
            Hydroelectricity,--,--,--,--,--,--,10.35,9.463,9.564,10.541,11.891,8.667,9.286,10.203,11.003,10.08,10.792,9.153,10.639,9.457,9.035,11.284,9.137,12.9199956
                Geothermal,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,--,--,--,--,--,--,0,0,0,0,0,0,0.004,0.005,0.006,0.011,0.012,0.0131,0.013,0.0135,0.0133,0.0135,0.16,0.42
                Wind,--,--,--,--,--,--,0,0,0,0,0,0,0,0.001,0.001,0.001,0.026,0.0485,0.1504,0.8982,0.9756,1.0845,0.9493672,1.0689632
    Consumption,--,--,--,--,--,--,29.094,29.86,30.668,30.023,30.733,31.618,30.71,30.839,29.563,31.122,31.584,32.1276,31.9449,32.2476,31.927,33.4064,33.4866829,34.41256628
    Imports,--,--,--,--,--,--,8.567,9.106,8.875,5.184,5.62,6.701,5.781,4.077,7.008,6.303,5.068,6.549,6.4,5.417,5.07,6.984,8.236,5.395
    Exports,--,--,--,--,--,--,9.377,9.192,8.802,6.609,5.917,6.979,5.392,6.614,5.445,7.221,6.99,5.7241,6.2835,5.341,5.6747,6.333,5.613,7.351
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,15.669,16.248,17.055,16.971,16.175,16.336,16.599,14.158,15.453,13.076,12.784,14.34,14.411,14.624,14.42,14.081,13.732,14.016,13.784,14.168,14.281,15.73,15.92,18.344
        Fossil fuels,9.657,9.646,8.813,9.507,9.273,8.905,8.361,7.55,7.437,6.872,6.886,7.774,7.265,6.348,5.277,5.32,5.262,5.646,5.901,6.232,6.18,7.2348,4.7461251,4.1640062
            Coal,5.584,5.822,5.155,5.966,5.681,5.535,5.309,4.802,4.672,3.855,3.57,3.554,3.416,3.074,2.873,2.83,2.799,2.991,3.012,2.337,1.866,1.9884,1.761369,1.074
            Natural gas,3.344,2.699,2.511,2.396,2.421,2.184,1.91,1.617,1.607,1.97,2.206,3.15,2.853,2.393,1.619,1.604,1.524,1.667,1.857,3.07,3.567,4.366,2.098,2.283
            Oil,0.202,0.69,0.704,0.708,0.737,0.741,0.722,0.71,0.681,0.626,0.6,0.586,0.506,0.429,0.302,0.384,0.47,0.439,0.459,0.457,0.408,0.3614,0.4487561,0.3460062
        Renewables,4.601,5.038,5.373,3.5602,4.1,4.654,4.784,4.913,4.542,4.8832,5.893,4.458,5.083,5.858,5.807,5.901,6.594,6.554,5.739,6.5898,6.901,6.61,5.7485375,6.433511772
            Hydroelectricity,4.569,4.878,5.215,3.4452,4.059,4.592,4.355,4.406,4,4.324,5.184,3.211,3.687,4.329,3.762,3.701,4.302,4.321,3.506,4.2738,4.517,4.17,3.1987,4.132350772
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.0002,0.017,0.397,0.424,0.588,0.597,0.506,0.533,0.506,0.585,0.589,0.663,0.671,0.6528375,0.6037867
                Wind,0,0,0,0.002,0.006,0.006,0.006,0.008,0.007,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.005,0.004,0.004
    Consumption,25.435,25.856,25.913,25.7742,26.307,24.891,25.938,26.835,26.87,25.2702,25.606,26.646,25.857,26.027,25.849,26.189,26.82,27.862,27.8056,26.9096,25.9959,28.8904175,26.3547053,24.1801915
    Imports,5.951,6.065,6.71,8.623,8.731,8.005,8.59,13.58,9.412,8.994,7.334,11.227,13.472,10.719,12.964,14.999,13.249,15.563,12.428,13.538,13.289,13.884,16.709407,10.670944
    Exports,8.647,9.743,10.867,10.878,10.593,11.27,10.921,11.855,8.891,7.682,6.293,10.5,13.079,10.628,11.862,12.611,10.598,12.535,8.746,11.838,12.97,13.11,15.3355462,14.0779375
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,4.549,5.036,5.31,4.963,5.212,5.614,5.289,5.4282,5.972,5.4597,5.381,5.902,5.244,5.036,6.061,5.372,5.431,5.9678,5.4899,5.533,6.0408,5.4186,5.310697,5.356102
        Fossil fuels,4.959,5.341,5.656,5.528,5.592,5.652,5.859,5.964,5.815,5.753,5.844,5.812,5.685,5.392,4.175,4.806,5.441,5.3116,5.1188,5.026,4.9535,4.4216,3.6705244,3.742
            Coal,4.611,4.919,5.302,5.108,5.191,5.271,5.436,5.482,5.323,5.132,5.288,5.307,5.145,4.876,3.759,4.385,5.01,4.8241,4.6223,4.483,4.363,3.849,3.131,3.148
            Natural gas,0.293,0.296,0.288,0.37,0.358,0.339,0.371,0.453,0.476,0.593,0.548,0.489,0.531,0.509,0.374,0.404,0.42,0.4731,0.478,0.5325,0.58,0.521,0.49,0.587
            Oil,0.055,0.126,0.066,0.05,0.043,0.042,0.052,0.029,0.016,0.028,0.008,0.016,0.009,0.007,0.042,0.017,0.011,0.0144,0.0185,0.0105,0.0105,0.0516,0.0495244,0.007
        Renewables,3.841,3.813,3.367,3.044,4.159,3.546,3.672,3.351,4.271,4.862,4.6879,3.832,4.2758,5.0503,6.537,4.3052,5.0053,4.4022,5.1812,5.0034,5.5935,5.4661,4.0293776,6.245525425
            Hydroelectricity,3.771,3.741,3.265,2.916,4.033,3.426,3.555,3.233,3.978,4.666,4.452,3.506,3.841,4.562,6.011,3.75,4.443,3.814,4.643,4.4342,4.9341,4.7119,3.1002,4.916099225
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0.001,0.004,0.0129,0.065,0.1618,0.2151,0.2568,0.2742,0.2675,0.2837,0.2544,0.3025,0.3681,0.453,0.6454448,1.016
                Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0.0042,0.006,0.0058,0.0057,0.006,0.0061,0.0063,0.0056,0.0057328,0.0064262
    Consumption,11.217,11.689,12.462,12.843,13.333,13.534,14.001,14.1052,13.647,12.1227,12.7509,13.301,13.2278,13.2423,13.12,13.4742,13.7313,14.1799,14.3442,14.317,13.6357,14.0989829,13.5221969,12.9534022
    Imports,4.232,3.154,3.794,5.975,7.433,9.342,7.706,6.106,6.225,7.78,8.625,7.036,7.452,7.521,7.254,9.045,8.359,9.1325,8.9302,9.0213,7.12,8.3872,10.1982421,9.114051
    Exports,5.553,4.926,4.928,5.811,8.189,9.667,7.662,5.877,7.824,10.839,10.745,8.408,8.491,8.811,9.997,9.093,9.535,9.6482,9.4324,9.3398,9.1231,8.6576,8.7523262,10.619837
Spain,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,59.096,60.523,59.865,58.781,60.426,54.9856,57.4311,52.7145,56.4499,50.5849,59.387,55.236,58.827,54.473,54.961,54.755,56.1,55.54,53.234,55.824,55.757,54.0402,56.033,54.277398
        Fossil fuels,123.614,119.724,143.436,139.325,159.622,184.198,182.377,187.392,188.773,163.926,137.736,145.326,144.62,112.631,106.689,122.415,107.194,126.152,111.218,110.568,86.1752,85.35,102.3515909,74.4703522
            Coal,79.094,70.27,81.182,74.722,79.106,79.053,66.739,72.795,48.714,35.91,25.334,43.98,55.074,39.941,43.807,51.366,36.434,45.127,37.341,12.859,5.522,5.7828,8.386578,3.812
            Natural gas,20.178,23.358,32.386,39.368,55.46,79.011,90.57,94.799,120.798,107.746,94.851,85.508,73.308,57.536,47.273,52.498,52.82,64.037,58.004,83.703,69.739,68.7533,82.9158275,59.4932782
            Oil,22.578,24.632,28.593,24.002,23.839,24.42,23.829,18.508,18.002,19.242,16.562,14.692,15.321,13.763,14.121,17.241,16.921,15.766,14.498,12.883,10.2872,9.6579,10.2131854,10.338074
        Renewables,36.119,49.364,34.932,56.273,50.736,42.53,52.49,58.747,62.691,74.577,96.559,86.566,85.774,110.233,109.1,95.661,102.957,86.564,102.552,99.5883,112.844,124.467,121.056434,139.0961301
            Hydroelectricity,29.274,40.617,22.691,40.643,31.359,18.209,25.699,27.036,23.13,26.147,41.576,30.07,20.192,36.45,38.815,27.656,35.77,18.007,33.743,24.2303,30.507,29.626,17.0808,24.64798492
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.018,0.024,0.03,0.041,0.056,0.041,0.119,0.508,2.578,6.064,7.117,9.221,11.625,12.662,13.177,13.351,13.051,13.778,12.224,14.493,20.058,26.41,35.002,45.9182273
                Wind,4.727,6.759,9.342,12.075,15.7,21.176,23.297,27.568,32.946,38.117,43.192,41.871,48.265,54.641,51.008,48.122,47.712,47.929,49.654,54.289,55.067,60.548,61.174634,62.6602893
    Consumption,201.334,213.786,220.709,231.28,241.844,252.6826,262.5041,266.4855,270.1139,255.5539,256.698,254.11,250.941,242.171,239.55,244.897,245.849,252.743,251.78,247.2556,231.2958,236.8565999,232.8441087,227.1870304
    Imports,12.268,10.177,12.504,9.52,8.111,10.212,9.093,8.773,5.881,6.751,5.206,7.932,7.787,9.887,12.31,14.956,21.845,23.762,24.018,18.7208,17.9284,17.4112,8.042675,11.3148035
    Exports,7.827,6.727,7.175,8.257,11.139,11.555,12.373,14.524,16.92,14.855,13.539,14.023,18.986,16.638,15.716,15.089,14.178,14.593,12.916,11.8585,14.6488,16.5588,27.9155912,25.2793631
Sweden,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,54.45,68.504,64.705,64.044,75.1781,69.5767,65.0539,64.3338,61.3359,50.0389,55.626,58.026,61.393,63.597,62.185,54.347,60.524,63.008,65.801,64.334,47.2627,50.9918,50.0627643,46.674
        Fossil fuels,4.531,5.921,7.18,8.907,5.213,3.89,4.242,3.606,3.711,3.878,7.326,4.398,3.4062,3.1356,2.2846,2.5867,2.6113,2.455,2.089,1.684,0.897,1.3629,1.1652366,0.8249229
            Coal,1.706,1.93,2.455,3.017,1.699,1.169,1.333,1.004,1.13,1.225,1.77,1.255,1.3502,1.4246,1.0596,1.2167,1.0143,1.186,0.638,0.417,0.084,0.105,0.061,0.084
            Natural gas,0.462,0.361,0.51,0.7,0.749,0.585,0.582,0.824,0.603,1.548,2.877,1.549,0.892,0.837,0.413,0.425,0.623,0.271,0.376,0.284,0.097,0.2721,0.144,0.222
            Oil,1.533,2.31,2.955,3.871,1.954,1.379,1.669,1.077,0.873,0.73,1.774,0.791,0.648,0.411,0.3,0.252,0.398,0.29,0.307,0.217,0.141,0.3358,0.4342366,0.3119229
        Renewables,82.598,82.774,70.745,58.522,68.383,81.369,71.447,77.582,81.605,79.9,83.1716,85.023,98.867,83.33,86.33,103.121,90.345,96.247,92.302,99.6978,112.898,114.357,122.5306924,115.7333783
            Hydroelectricity,77.798,78.269,65.696,53.005,59.522,72.075,61.106,65.497,68.378,65.193,66.279,66.047,78.333,60.81,63.227,74.734,61.645,64.651,61.79,64.4658,71.6,71.086,72.8013,65.58928923
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.007,0.0086,0.011,0.019,0.035,0.047,0.097,0.143,0.23,0.407,0.679,1.051,1.526,1.998,3.098
                Wind,0.457,0.482,0.608,0.679,0.86,0.935,0.984,1.426,1.998,2.491,3.487,6.107,7.164,9.842,11.235,16.322,15.479,17.609,16.623,19.847,27.526,27.108,32.7573924,34.3445702
    Consumption,135.428,138.094,136.085,133.611,135.7021,135.7137,135.8619,136.1368,133.6379,128.5369,137.5966,129.565,133.0792,129.9996,127.7956,130.4117,133.1253,133.212,132.414,128.9548,127.7337,130.4897,131.1215022,125.2730653
    Imports,18.308,11.164,20.11,24.287,15.646,14.576,17.537,16.052,12.754,13.765,14.931,12.481,11.682,12.674,13.852,9.294,14.287,11.896,12.202,9.07,11.827,8.341,6.1772444,7.3347468
    Exports,13.63,18.454,14.754,11.457,17.75,21.968,11.497,14.736,14.715,9.08,12.853,19.714,31.255,22.676,29.475,31.894,26.022,30.888,29.425,35.231,36.824,33.909,39.0644355,36.1513784
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,25.124,25.47,25.872,26.113,25.61,22.1086,26.3729,26.4891,26.2749,26.2669,25.205,25.56,24.345,24.871,26.37,22.095,20.235,19.499,24.414,25.28,22.99,18.3502,23.113,23.334
        Fossil fuels,1.084,1.092,1.115,1.17,1.146,1.084,0.985,0.916,0.855,0.814,1.096,1.02,0.962,0.798,0.538,0.665,0.892,0.7592,0.6459,0.6368,0.639084,0.537,0.416,0.4
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
