,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
            Natural gas,1.912,1.908,1.539,1.762,1.494,1.729,2.159,2.336,2.36,1.961,1.967,2.077,2.356,2.339,2.142,1.864,2.053,1.9266,2.0228,2.1529,2.2923,3.0457,2.053367,1.939
            Oil,0.661,0.579,0.83,0.789,0.822,0.606,0.379,0.568,0.277,0.328,0.393,0.137,0.22,0.226,0.211,0.182,0.318,0.3966,0.3321,0.3872,0.3209,0.3582,0.500824,0.281
        Renewables,2.661,1.72,2.183,3.005,3.156,4.316,4.223,2.898,2.934,3.683,5.7127,3.8603,5.2472,6.8406,7.339,8.7054,7.0052,6.1026,9.3485,7.5201,7.4816,10.3083,9.479625,9.5619642
            Hydroelectricity,2.646,1.72,2.172,2.999,3.136,4.294,4.196,2.845,2.796,3.435,4.9817,2.8433,3.1462,3.9956,4.556,5.5984,3.8412,2.7997,5.0955,2.9295,2.8204,4.8192,3.7340143,3.0991082
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0,0,0,0,0.003,0.015,0.1,0.814,1.361,1.252,1.383,1.386,1.4028,1.3428,1.4425,1.4809,1.4666,2.003556,3.25
                Wind,0,0,0,0,0.001,0.005,0.02,0.047,0.122,0.237,0.681,0.861,1.221,1.374,1.331,1.452,1.425,1.5041,1.3181,1.317,1.4771,1.4336,1.4983787,1.5839483
    Consumption,28.595,28.928,29.464,29.334,29.114,30.039,31.343,32.6068,33.262,31.466,31.6957,33.4873,32.6892,31.7236,32.295,33.2284,33.4302,34.8503,34.6285,34.2317,33.2045,34.9752,35.474099,34.22107388
    Imports,0.964,1.092,2.04,1.283,0.741,0.799,1.139,3.058,3.097,2.662,1.167,1.449,2.353,3.351,4.319,4.251,4.568,3.705,2.223,3.045,3.7067,1.857,1.47,4.415
    Exports,5.584,8.017,8.335,6.772,6.62,8.38,8.882,7.533,8.441,7.735,9.613,12.11,10.661,9.532,13.774,14.826,10.94,9.186,10.03,8.855,7.115,10.635,13.665,7.748
